Price,Area,Bedrooms,Toilets,Published At,Loại tin,Status,Developer,Street,District,Suggested Price,Million/m2,District Price,Street Price
7.5,85.0,4,6,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,1,bình chánh,107.1,88.24,4.5,15.25
23.0,230.0,5,6,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,1,bình chánh,107.1,100.0,4.5,15.25
4.99,52.0,3,2,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,1,bình tân,98.8,95.96,5.225,4.85
4.25,46.0,2,2,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,1,bình tân,98.8,92.39,5.225,4.85
4.85,67.0,3,2,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,1,bình tân,98.8,72.39,5.225,4.85
7.5,80.0,5,6,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,1,quận 12,86.1,93.75,4.75,7.5
75.0,200.0,4,4,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,1,quận 2,163.0,375.0,13.395,49.1
23.2,110.0,6,8,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,1,quận 2,163.0,210.91,13.395,49.1
27.0,90.0,6,6,2024-10-26,Tin VIP Bạc,Đã bàn giao,Công ty CP Xây dựng và Kinh doanh Nhà Kim Sơn,1,quận 7,190.35,300.0,9.0,27.0
2.19,60.0,4,4,2024-10-12,Tin thường,Đã bàn giao,cá nhân/môi giới,1,quận 9,163.0,36.5,7.5,3.1
3.35,52.6,4,4,2024-10-19,Tin thường,Đã bàn giao,cá nhân/môi giới,1,quận 9,163.0,63.69,7.5,3.1
3.1,70.0,4,4,2024-10-27,Tin thường,Đang cập nhật tiến độ,Đang cập nhật,1,quận 9,163.0,44.29,7.5,3.1
3.1,68.0,2,2,2024-10-18,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,45.59,6.6,2.9
2.9,68.0,2,2,2024-10-19,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,42.65,6.6,2.9
2.9,68.0,2,2,2024-10-21,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,42.65,6.6,2.9
1.53,66.0,2,2,2024-10-19,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,23.18,6.6,2.9
2.9,68.0,2,2,2024-10-26,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,42.65,6.6,2.9
2.9,68.0,2,2,2024-10-26,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,42.65,6.6,2.9
2.8,68.0,2,2,2024-10-25,Tin VIP Bạc,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,41.18,6.6,2.9
2.9,68.0,2,2,2024-10-20,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,42.65,6.6,2.9
2.9,68.0,2,2,2024-10-20,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,42.65,6.6,2.9
2.8,68.0,2,2,2024-10-25,Tin VIP Bạc,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,41.18,6.6,2.9
1.78,67.0,2,2,2024-10-27,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,26.57,6.6,2.9
2.9,67.0,2,2,2024-10-23,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,43.28,6.6,2.9
3.5,68.0,2,2,2024-10-24,Tin thường,Đã bàn giao,Công ty CP Tập đoàn Hưng Thịnh,1,thủ đức,163.0,51.47,6.6,2.9
