,Diện Tích,Giá,Triệu/m2,Số Phòng Ngủ,Số Nhà Vệ Sinh,Giá Đề Xuất,Giá Quận,Giá Đường
0,40.0,15.2,380.0,6.0,4.0,130400.0,4.7,7.35
1,90.0,5.6,62.2,3.0,2.0,164900.0,8.35,5.6
5,57.0,1.35,23.7,2.0,2.0,52700.0,4.7,1.4
6,100.0,7.8,78.0,3.0,3.0,64200.0,8.19,7.9
7,87.0,5.95,68.4,3.0,2.0,164700.0,4.4,4.324999999999999
10,34.0,8.6,252.9,3.0,4.0,247100.0,8.35,15.5
11,80.0,8.7,108.7,4.0,5.0,93150.0,6.7,7.5
12,146.0,23.0,157.5,6.0,7.0,73700.0,8.9,9.15
16,1612.98,150.0,93.0,10.0,6.0,56700.0,6.95,150.0
19,86.0,5.8,67.4,2.0,2.0,151500.0,8.9,11.0
28,71.1,7.6,106.9,4.0,5.0,40100.0,5.2,7.6
32,82.2,8.5,103.4,4.0,6.0,57000.0,5.2,6.85
38,80.0,11.0,137.5,4.0,6.0,40233.333333333336,6.7,2.675
41,92.5,15.6,168.6,6.0,4.0,61450.0,7.5,6.7
45,599.0,119.0,198.7,5.0,5.0,145800.0,6.7,15.5
49,130.0,10.9,83.8,3.0,1.0,141700.0,6.1,6.725
55,66.0,4.2,63.6,2.0,2.0,129600.0,6.7,6.4
58,68.0,2.65,39.0,2.0,2.0,40233.333333333336,6.7,2.675
62,52.0,6.49,124.8,3.0,3.0,101300.0,6.0,6.6
64,47.0,1.99,42.3,1.0,1.0,83983.33333333333,4.7,2.7
66,117.0,20.0,170.9,5.0,5.0,137500.0,14.0,20.0
67,53.0,2.15,40.6,1.0,1.0,40233.333333333336,6.7,2.675
68,90.0,15.9,176.7,3.0,4.0,72900.0,4.7,4.75
69,64.0,1.9,29.7,1.0,1.0,59100.0,4.7,1.9
72,68.0,2.7,39.7,2.0,2.0,40233.333333333336,6.7,2.675
73,48.9,8.9,182.0,3.0,3.0,174500.0,12.0,5.199999999999999
75,74.0,14.0,189.2,6.0,6.0,119100.0,6.5,14.0
77,68.0,2.65,39.0,2.0,2.0,40233.333333333336,6.7,2.675
81,60.6,7.8,128.7,4.0,5.0,65600.0,8.9,9.3
87,118.0,4.8,40.7,2.0,2.0,59900.0,4.7,4.875
88,105.6,10.9,103.2,4.0,5.0,52500.0,5.2,4.896000000000001
90,85.0,6.3,74.1,2.0,2.0,179800.0,8.9,9.9
92,44.0,2.05,46.6,1.0,1.0,132000.0,7.5,7.300000000000001
96,67.0,1.65,24.6,2.0,2.0,76933.33333333333,4.7,4.9
97,74.0,14.0,189.2,6.0,6.0,119100.0,6.5,14.0
101,66.0,3.5,53.0,2.0,1.0,409900.0,14.0,24.45
103,76.0,11.9,156.6,3.0,3.0,96200.0,8.19,13.925
107,85.0,6.3,74.1,2.0,2.0,179800.0,8.9,9.9
108,80.0,8.6,107.5,5.0,4.0,129600.0,6.5,6.8
109,68.0,3.5,51.5,2.0,2.0,83983.33333333333,4.7,2.7
111,60.0,11.5,191.7,5.0,6.0,128300.0,8.19,23.5
112,33.0,0.9,27.3,1.0,1.0,84400.0,8.19,4.2
114,73.0,3.2,43.8,2.0,2.0,129600.0,6.7,6.4
116,68.0,3.2640000000000002,48.0,2.0,2.0,76600.0,4.675000000000001,3.63
117,37.27,1.9,51.0,1.0,1.0,129600.0,6.7,6.4
118,48.8,8.9,182.4,4.0,5.0,115400.0,14.0,6.0
120,106.8,6.45,60.4,3.0,2.0,43700.0,6.95,6.45
126,390.0,79.0,202.6,10.0,10.0,174500.0,12.0,5.199999999999999
130,165.0,14.3,86.7,5.0,7.0,57400.0,7.5,10.6
136,139.0,23.0,165.5,3.0,2.0,295000.0,7.5,14.25
138,35.8,2.4,67.0,4.0,3.0,143400.0,6.1,4.39
139,55.0,13.5,245.5,11.0,11.0,262100.0,8.35,12.05
140,154.0,26.5,172.1,4.0,4.0,64800.0,6.95,7.050000000000001
141,65.0,4.1,63.1,2.0,2.0,164700.0,4.4,4.324999999999999
143,45.1,2.5,55.4,4.0,5.0,116800.0,7.51,2.5
144,280.0,75.0,267.9,22.0,22.0,278600.0,14.0,55.5
145,85.0,5.89,69.3,2.0,2.0,164700.0,4.4,4.324999999999999
146,140.0,16.3,116.4,5.0,5.0,41300.0,7.5,16.65
147,80.0,2.8,35.0,4.0,5.0,60800.0,4.65,4.945
148,27.0,4.65,172.2,4.0,2.0,320900.0,14.0,23.494999999999997
150,252.0,27.9,110.7,3.0,4.0,320900.0,14.0,23.494999999999997
151,15.0,3.45,230.0,2.0,2.0,267300.0,8.35,8.6
152,99.0,13.7,138.4,7.0,7.0,99200.0,8.19,10.0
153,45.4,15.0,330.4,4.0,4.0,159200.0,12.0,17.0
156,40.0,3.69,92.2,2.0,2.0,56700.0,6.95,7.845
