TÊN ĐƯỜNG,Giá đất đề nghị điều chỉnh,District
ALEXANDRE DE RHODES,430400.0,Quận 1
BÀ LÊ CHÂN,148000.0,Quận 1
BÙI THỊ XUÂN,278600.0,Quận 1
BÙI VIỆN,245900.0,Quận 1
CALMETTE,269300.0,Quận 1
CAO BÁ NHẠ,153900.0,Quận 1
CAO BÁ QUÁT,215200.0,Quận 1
CHU MẠNH TRINH,245900.0,Quận 1
CÁCH MẠNG THÁNG 8,307400.0,Quận 1
CỐNG QUỲNH,270600.0,Quận 1
CÔ BẮC,161200.0,Quận 1
CÔ GIANG,161600.0,Quận 1
CÔNG TRƯỜNG LAM SƠN,491700.0,Quận 1
CÔNG TRƯỜNG MÊ LINH,450800.0,Quận 1
CÔNG XÃ PARIS,450800.0,Quận 1
CÂY ĐIỆP,97100.0,Quận 1
ĐINH CÔNG TRÁNG,148000.0,Quận 1
ĐINH TIÊN HOÀNG,165200.0,Quận 1
ĐIỆN BIÊN PHỦ,180600.0,Quận 1
ĐẶNG DUNG,145400.0,Quận 1
ĐẶNG THỊ NHU,264100.0,Quận 1
ĐẶNG TRẦN CÔN,169700.0,Quận 1
ĐẶNG TẤT,145400.0,Quận 1
ĐỀ THÁM,137500.0,Quận 1
ĐỒNG KHỞI,687200.0,Quận 1
ĐỖ QUANG ĐẨU,179700.0,Quận 1
ĐÔNG DU,409900.0,Quận 1
HAI BÀ TRƯNG,450800.0,Quận 1
HÒA MỸ,100400.0,Quận 1
HUYỀN QUANG,111700.0,Quận 1
HUYỀN TRÂN CÔNG CHÚA,204900.0,Quận 1
HUỲNH THÚC KHÁNG,430400.0,Quận 1
HUỲNH KHƯƠNG NINH,119400.0,Quận 1
HÀM NGHI,429300.0,Quận 1
HÀN THUYÊN,430400.0,Quận 1
HẢI TRIỀU,400600.0,Quận 1
HOÀNG SA,138500.0,Quận 1
HỒ HUẤN NGHIỆP,430400.0,Quận 1
HỒ HẢO HỚN,137200.0,Quận 1
HỒ TÙNG MẬU,192400.0,Quận 1
KÝ CON,271100.0,Quận 1
LÝ TỰ TRỌNG,429300.0,Quận 1
LÝ VĂN PHỨC,127600.0,Quận 1
LƯƠNG HỮU KHÁNH,176200.0,Quận 1
LÊ ANH XUÂN,307400.0,Quận 1
LÊ CÔNG KIỀU,217100.0,Quận 1
LÊ DUẨN,466700.0,Quận 1
LÊ LAI,409900.0,Quận 1
LÊ LỢI,687200.0,Quận 1
LÊ THÁNH TÔN,491700.0,Quận 1
LÊ THỊ HỒNG GẤM,225500.0,Quận 1
LÊ THỊ RIÊNG,307400.0,Quận 1
LƯU VĂN LANG,389300.0,Quận 1
LÊ VĂN HƯU,266400.0,Quận 1
MAI THỊ LỰU,189200.0,Quận 1
MÃ LỘ,115400.0,Quận 1
MẠC THỊ BƯỞI,409900.0,Quận 1
MẠC ĐỈNH CHI,276700.0,Quận 1
NGUYỄN THỊ MINH KHAI,286000.0,Quận 1
NAM KỲ KHỞI NGHĨA,368900.0,Quận 1
NGUYỄN AN NINH,368900.0,Quận 1
NGUYỄN CẢNH CHÂN,208600.0,Quận 1
NGUYỄN CÔNG TRỨ,266400.0,Quận 1
NGUYỄN CƯ TRINH,267800.0,Quận 1
NGUYỄN DU,266400.0,Quận 1
NGUYỄN HUY TỰ,159300.0,Quận 1
NGUYỄN HUỆ,687200.0,Quận 1
NGUYỄN VĂN BÌNH,266400.0,Quận 1
NGUYỄN VĂN NGUYỄN,115400.0,Quận 1
NGUYỄN HỮU CẦU,154800.0,Quận 1
NGUYỄN KHẮC NHU,168000.0,Quận 1
NGUYỄN PHI KHANH,115400.0,Quận 1
NAM QUỐC CANG,204900.0,Quận 1
NGUYỄN SIÊU,215200.0,Quận 1
NGUYỄN THIỆP,348400.0,Quận 1
NGUYỄN THÁI BÌNH,266000.0,Quận 1
NGUYỄN THÁI HỌC,286900.0,Quận 1
NGUYỄN THÀNH Ý,146300.0,Quận 1
NGUYỄN THỊ NGHĨA,286900.0,Quận 1
NGUYỄN TRUNG NGẠN,168000.0,Quận 1
NGUYỄN TRUNG TRỰC,382900.0,Quận 1
NGUYỄN TRÃI,409900.0,Quận 1
NGUYỄN VĂN CHIÊM,307400.0,Quận 1
NGUYỄN VĂN CỪ,144000.0,Quận 1
NGUYỄN VĂN GIAI,204900.0,Quận 1
NGUYỄN VĂN THỦ,225500.0,Quận 1
NGUYỄN VĂN TRÁNG,204900.0,Quận 1
NGUYỄN VĂN NGHĨA,146600.0,Quận 1
NGUYỄN ĐÌNH CHIỂU,307400.0,Quận 1
NGUYỄN BỈNH KHIÊM,227300.0,Quận 1
NGÔ VĂN NĂM,222200.0,Quận 1
NGÔ ĐỨC KẾ,409900.0,Quận 1
PASTEUR,351700.0,Quận 1
PHAN BỘI CHÂU,409900.0,Quận 1
PHAN CHÂU TRINH,409900.0,Quận 1
PHAN KẾ BÍNH,169400.0,Quận 1
PHAN LIÊM,153500.0,Quận 1
PHAN NGỮ,149900.0,Quận 1
PHAN TÔN,149900.0,Quận 1
PHAN VĂN TRƯỜNG,159800.0,Quận 1
PHAN VĂN ĐẠT,266400.0,Quận 1
PHẠM HỒNG THÁI,389300.0,Quận 1
PHẠM NGỌC THẠCH,285600.0,Quận 1
PHẠM NGŨ LÃO,278700.0,Quận 1
PHẠM VIẾT CHÁNH,204900.0,Quận 1
PHÓ ĐỨC CHÍNH,294400.0,Quận 1
PHÙNG KHẮC KHOAN,174300.0,Quận 1
SƯƠNG NGUYỆT ÁNH,358700.0,Quận 1
THI SÁCH,266400.0,Quận 1
THÁI VĂN LUNG,371300.0,Quận 1
THẠCH THỊ THANH,159800.0,Quận 1
THỦ KHOA HUÂN,409900.0,Quận 1
TRẦN CAO VÂN,298100.0,Quận 1
TRẦN DOÃN KHANH,149900.0,Quận 1
TRẦN HƯNG ĐẠO,320900.0,Quận 1
TRẦN KHÁNH DƯ,145400.0,Quận 1
TRẦN KHẮC CHÂN,145400.0,Quận 1
TRẦN NHẬT DUẬT,145400.0,Quận 1
TRẦN QUANG KHẢI,175700.0,Quận 1
TRẦN QUÝ KHOÁCH,151700.0,Quận 1
TRẦN ĐÌNH XU,141700.0,Quận 1
TRỊNH VĂN CẤN,169700.0,Quận 1
TRƯƠNG HÁN SIÊU,88600.0,Quận 1
TRƯƠNG ĐỊNH,369300.0,Quận 1
TÔN THẤT THIỆP,317700.0,Quận 1
TÔN THẤT TÙNG,294400.0,Quận 1
TÔN THẤT ĐẠM,368900.0,Quận 1
TÔN ĐỨC THẮNG,416000.0,Quận 1
VÕ VĂN KIỆT,157800.0,Quận 1
VÕ THỊ SÁU,260800.0,Quận 1
YERSIN,297200.0,Quận 1
NGUYỄN HỮU CẢNH,368900.0,Quận 1
TRẦN NGUYÊN ĐÁN,175700.0,Quận 1
BÀ HUYỆN THANH QUAN,194400.0,Quận 3
BÀN CỜ,178200.0,Quận 3
CÁC ĐƯỜNG TRONG CƯ XÁ ĐÔ THÀNH,170100.0,Quận 3
CÁCH MẠNG THÁNG 8,183900.0,Quận 3
CAO THẮNG,262100.0,Quận 3
CÔNG TRƯỜNG QUỐC TẾ,340200.0,Quận 3
ĐIỆN BIÊN PHỦ,190600.0,Quận 3
ĐOÀN CÔNG BỬU,153900.0,Quận 3
HAI BÀ TRƯNG,266500.0,Quận 3
HOÀNG SA,138500.0,Quận 3
HỒ XUÂN HƯƠNG,226800.0,Quận 3
HUỲNH TỊNH CỦA,210600.0,Quận 3
KỲ ĐỒNG,234900.0,Quận 3
LÊ NGÔ CÁT,202500.0,Quận 3
LÊ QUÝ ĐÔN,218700.0,Quận 3
LÊ VĂN SỸ,247100.0,Quận 3
LÝ CHÍNH THẮNG,226800.0,Quận 3
LÝ THÁI TỔ,186300.0,Quận 3
NAM KỲ KHỞI NGHĨA,323200.0,Quận 3
NGÔ THỜI NHIỆM,226800.0,Quận 3
NGUYỄN ĐÌNH CHIỂU,267300.0,Quận 3
NGUYỄN GIA THIỀU,178200.0,Quận 3
NGUYỄN HIỀN,170100.0,Quận 3
NGUYỄN PHÚC NGUYÊN,175800.0,Quận 3
NGUYỄN SƠN HÀ,178200.0,Quận 3
NGUYỄN THỊ DIỆU,218700.0,Quận 3
NGUYỄN THỊ MINH KHAI,305800.0,Quận 3
NGUYỄN THIỆN THUẬT,226800.0,Quận 3
NGUYỄN THÔNG,234900.0,Quận 3
NGUYỄN THƯỢNG HIỀN,179100.0,Quận 3
NGUYỄN VĂN MAI,186300.0,Quận 3
PASTEUR,243000.0,Quận 3
PHẠM ĐÌNH TOÁI,162000.0,Quận 3
PHẠM NGỌC THẠCH,285600.0,Quận 3
RẠCH BÙNG BINH,178200.0,Quận 3
SƯ THIỆN CHIẾU,162000.0,Quận 3
TRẦN CAO VÂN,298100.0,Quận 3
TRẦN QUANG DIỆU,162000.0,Quận 3
TRẦN QUỐC THẢO,210600.0,Quận 3
TRẦN QUỐC TOẢN,194400.0,Quận 3
TRẦN VĂN ĐANG,153900.0,Quận 3
TRƯƠNG ĐỊNH,287700.0,Quận 3
TRƯƠNG QUYỀN,153900.0,Quận 3
TRƯỜNG SA,164900.0,Quận 3
TÚ XƯƠNG,243000.0,Quận 3
VÕ THỊ SÁU,226800.0,Quận 3
VÕ VĂN TẦN,299700.0,Quận 3
VƯỜN CHUỐI,170100.0,Quận 3
ĐỖ THỊ LỜI,174200.0,Quận 3
BẾN VÂN ĐỒN,164700.0,Quận 4
"ĐƯỜNG NỘI BỘ
CHUNG CƯ PHƯỜNG 3",97200.0,Quận 4
"CÁC ĐƯỜNG NỘI BỘ
CƯ XÁ VĨNH HỘI",97200.0,Quận 4
ĐINH LỂ,220400.0,Quận 4
ĐOÀN NHƯ HÀI,176800.0,Quận 4
ĐOÀN VĂN BƠ,195000.0,Quận 4
"ĐƯỜNG DÂN SINH 
HAI BÊN CẦU CALMETTE",113900.0,Quận 4
ĐƯỜNG 10C,177300.0,Quận 4
ĐƯỜNG 20 THƯỚC,91600.0,Quận 4
"ĐƯỜNG DÂN SINH
HAI BÊN CẦU ÔNG LÃNH",110500.0,Quận 4
ĐƯỜNG PHƯỜNG 1,87300.0,Quận 4
ĐƯỜNG SỐ 1,159500.0,Quận 4
ĐƯỜNG SỐ 2,123100.0,Quận 4
ĐƯỜNG SỐ 3,123100.0,Quận 4
ĐƯỜNG SỐ 4,123100.0,Quận 4
ĐƯỜNG SỐ 5,123100.0,Quận 4
ĐƯỜNG SỐ 6,129600.0,Quận 4
ĐƯỜNG SỐ 7,123100.0,Quận 4
ĐƯỜNG SỐ 8,129600.0,Quận 4
ĐƯỜNG SỐ 9,129600.0,Quận 4
ĐƯỜNG SỐ 10,129600.0,Quận 4
ĐƯỜNG SỐ 10A,129600.0,Quận 4
ĐƯỜNG SỐ 10B,129600.0,Quận 4
ĐƯỜNG SỐ 11,135600.0,Quận 4
ĐƯỜNG SỐ 12,129600.0,Quận 4
ĐƯỜNG SỐ 12A,131100.0,Quận 4
ĐƯỜNG SỐ 13,123100.0,Quận 4
ĐƯỜNG SỐ 15,123100.0,Quận 4
ĐƯỜNG SỐ 16,135600.0,Quận 4
ĐƯỜNG SỐ 17,123100.0,Quận 4
ĐƯỜNG SỐ 18,123100.0,Quận 4
ĐƯỜNG SỐ 19,123100.0,Quận 4
ĐƯỜNG SỐ 20,118700.0,Quận 4
ĐƯỜNG SỐ 21,123100.0,Quận 4
ĐƯỜNG SỐ 22,129600.0,Quận 4
ĐƯỜNG SỐ 23,123100.0,Quận 4
ĐƯỜNG SỐ 24,129600.0,Quận 4
ĐƯỜNG SỐ 25,123100.0,Quận 4
ĐƯỜNG SỐ 28,140900.0,Quận 4
ĐƯỜNG SỐ 29,129600.0,Quận 4
ĐƯỜNG SỐ 30,129600.0,Quận 4
ĐƯỜNG SỐ 31,129600.0,Quận 4
ĐƯỜNG SỐ 32,129600.0,Quận 4
ĐƯỜNG SỐ 32A,77500.0,Quận 4
ĐƯỜNG SỐ 33,129600.0,Quận 4
ĐƯỜNG SỐ 34,129600.0,Quận 4
ĐƯỜNG SỐ 35,77500.0,Quận 4
ĐƯỜNG SỐ 36,129600.0,Quận 4
