Title,Price,Address,Price per m2,Area,Bedrooms,Toilets,Published At,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Project Title,Status,Number of Apartments,Number of Buildings,Developer,Project Address
,"15,2 tỷ","Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",,40 m²,6 phòng,4 phòng,17/10/2024,40 m²,"15,2 tỷ",,,17/10/2024,24/10/2024,Tin VIP Bạc,39211626,,,,,,"Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh"
Screc Tower,"5,6 tỷ","Screc Tower, Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",,90 m²,3 phòng,2 phòng,23/10/2024,90 m²,"5,6 tỷ",,,23/10/2024,02/11/2024,Tin thường,41292074,Screc Tower,đã bàn giao,60-106 m²,468,Công ty CP Đầu tư Xây dựng và Kinh doanh nhà Sài Gòn,"Screc Tower, Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh"
HaDo Centrosa Garden,7 tỷ,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",,87 m²,2 phòng,2 phòng,23/10/2024,87 m²,7 tỷ,,,23/10/2024,30/10/2024,Tin VIP Kim Cương,38439702,HaDo Centrosa Garden,Đã bàn giao,2.178,8,Tập đoàn Hà Đô,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh"
,"12,35 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh",,60 m²,4 phòng,,22/10/2024,60 m²,"12,35 tỷ",,,22/10/2024,01/11/2024,Tin thường,41151459,,,,,,"Đường Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh"
,Thỏa thuận,"Đường Xa Lộ Hà Nội, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",,2.000 m²,,,18/10/2024,2.000 m²,Thỏa thuận,,,18/10/2024,28/10/2024,Tin thường,41253392,,,,,,"Đường Xa Lộ Hà Nội, Phường Hiệp Phú, Quận 9, Hồ Chí Minh"
Dream Home Riverside,"1,35 tỷ","Dự án Dream Home Riverside, Đường Nguyễn Văn Linh, Phường 7, Quận 8, Hồ Chí Minh",,57 m²,2 phòng,2 phòng,17/10/2024,57 m²,"1,35 tỷ",,,17/10/2024,24/10/2024,Tin VIP Bạc,41238240,Dream Home Riverside,Đang mở bán,55-75 m²,2.096,Công ty TNHH SX TM Lý Khương,"Dự án Dream Home Riverside, Đường Nguyễn Văn Linh, Phường 7, Quận 8, Hồ Chí Minh"
,"7,8 tỷ","Đường Phạm Văn Bạch, Phường 15, Tân Bình, Hồ Chí Minh",,100 m²,3 phòng,3 phòng,22/10/2024,100 m²,"7,8 tỷ",,,22/10/2024,01/11/2024,Tin thường,40991830,,,,,,"Đường Phạm Văn Bạch, Phường 15, Tân Bình, Hồ Chí Minh"
ICON 56,"5,95 tỷ","Dự án ICON 56, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh",,87 m²,3 phòng,2 phòng,15/10/2024,87 m²,"5,95 tỷ",,,15/10/2024,30/10/2024,Tin thường,41221151,ICON 56,Đã bàn giao,47-112 m²,312,Novaland Group,"Dự án ICON 56, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh"
,Thỏa thuận,"Đường Tô Hiến Thành, Phường 15, Quận 10, Hồ Chí Minh",,42 m²,3 phòng,3 phòng,23/10/2024,42 m²,Thỏa thuận,,,23/10/2024,02/11/2024,Tin thường,38427649,,,,,,"Đường Tô Hiến Thành, Phường 15, Quận 10, Hồ Chí Minh"
,16 tỷ,"Phường Phước Long B, Quận 9, Hồ Chí Minh",,156 m²,8 phòng,9 phòng,17/10/2024,156 m²,16 tỷ,,,17/10/2024,27/10/2024,Tin VIP Bạc,41238200,,,,,,"Phường Phước Long B, Quận 9, Hồ Chí Minh"
,"8,6 tỷ","Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",,34 m²,3 phòng,4 phòng,22/10/2024,34 m²,"8,6 tỷ",,,22/10/2024,01/11/2024,Tin thường,41290152,,,,,,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh"
,"8,7 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,80 m²,4 phòng,5 phòng,04/10/2024,80 m²,"8,7 tỷ",,,04/10/2024,03/11/2024,Tin thường,40904674,,,,,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
,23 tỷ,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh",,146 m²,6 phòng,7 phòng,22/10/2024,146 m²,23 tỷ,,,22/10/2024,21/11/2024,Tin thường,40693048,,,,,,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh"
,23 tỷ,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh",,146 m²,6 phòng,7 phòng,22/10/2024,146 m²,23 tỷ,,,22/10/2024,21/11/2024,Tin thường,40693048,,,,,,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh"
Diamond Island,"7,3 tỷ","Dự án Diamond Island, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",,90 m²,2 phòng,2 phòng,14/10/2024,90 m²,"7,3 tỷ",,,14/10/2024,24/10/2024,Tin VIP Kim Cương,41208775,Diamond Island,Đã bàn giao,1.275,6,Kusto Home,"Dự án Diamond Island, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
,23 tỷ,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh",,146 m²,6 phòng,7 phòng,22/10/2024,146 m²,23 tỷ,,,22/10/2024,21/11/2024,Tin thường,40693048,,,,,,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh"
,150 tỷ,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",,"1.612,98 m²",10 phòng,6 phòng,23/10/2024,"1.612,98 m²",150 tỷ,Đông - Bắc,Đông - Bắc,23/10/2024,02/11/2024,Tin thường,41188329,,,,,,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
,150 tỷ,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",,"1.612,98 m²",10 phòng,6 phòng,23/10/2024,"1.612,98 m²",150 tỷ,Đông - Bắc,Đông - Bắc,23/10/2024,02/11/2024,Tin thường,41188329,,,,,,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
,150 tỷ,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",,"1.612,98 m²",10 phòng,6 phòng,23/10/2024,"1.612,98 m²",150 tỷ,Đông - Bắc,Đông - Bắc,23/10/2024,02/11/2024,Tin thường,41188329,,,,,,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
Vinhomes Central Park,"5,8 tỷ","Dự án Vinhomes Central Park, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",,86 m²,2 phòng,2 phòng,23/10/2024,86 m²,"5,8 tỷ",Nam,Đông - Nam,23/10/2024,30/10/2024,Tin VIP Kim Cương,40848060,Vinhomes Central Park,Đã bàn giao,13.000,18,Tập đoàn Vingroup,"Dự án Vinhomes Central Park, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
,"4,85 tỷ","Đường Số 9, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",,"52,8 m²",,,20/10/2024,"52,8 m²","4,85 tỷ",,,20/10/2024,04/11/2024,Tin thường,40710557,,,,,,"Đường Số 9, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
,"4,85 tỷ","Đường Số 9, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",,"52,8 m²",,,20/10/2024,"52,8 m²","4,85 tỷ",,,20/10/2024,04/11/2024,Tin thường,40710557,,,,,,"Đường Số 9, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
,"4,85 tỷ","Đường Số 9, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",,"52,8 m²",,,20/10/2024,"52,8 m²","4,85 tỷ",,,20/10/2024,04/11/2024,Tin thường,40710557,,,,,,"Đường Số 9, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
,23 tỷ,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh",,146 m²,6 phòng,7 phòng,22/10/2024,146 m²,23 tỷ,,,22/10/2024,21/11/2024,Tin thường,40693048,,,,,,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh"
Lucasta Villa,"30,9 tỷ","Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,"230,3 m²",5 phòng,5 phòng,10/10/2024,"230,3 m²","30,9 tỷ",Bắc,Bắc,10/10/2024,25/10/2024,Tin thường,28911301,Lucasta Villa,Đã bàn giao,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
Lucasta Villa,"30,9 tỷ","Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,"230,3 m²",5 phòng,5 phòng,10/10/2024,"230,3 m²","30,9 tỷ",Bắc,Bắc,10/10/2024,25/10/2024,Tin thường,28911301,Lucasta Villa,Đã bàn giao,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
,150 tỷ,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",,"1.612,98 m²",10 phòng,6 phòng,23/10/2024,"1.612,98 m²",150 tỷ,Đông - Bắc,Đông - Bắc,23/10/2024,02/11/2024,Tin thường,41188329,,,,,,"Đường Einstein, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
