Price,Address,Area,Bedrooms,Toilets,Published At,Hướng nhà,Hướng ban công,Loại tin,Status,Number of Apartments,Developer,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường
"15,2 tỷ","Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",40.0,6,4,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",40.0,15.2,38.0,2024-10-17,6.0,4.0,quận 8,130400.0,dương bá trạc
"5,6 tỷ","Screc Tower, Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",90.0,3,2,23/10/2024,,,Tin thường,đã bàn giao,60-106 m²,Công ty CP Đầu tư Xây dựng và Kinh doanh nhà Sài Gòn,"(75.533, 92.667]",90.0,5.6,6.2,2024-10-23,3.0,2.0,quận 3,164900.0,trường sa
7 tỷ,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",87.0,2,2,23/10/2024,,,Tin VIP Kim Cương,Đã bàn giao,2.178,Tập đoàn Hà Đô,"(75.533, 92.667]",87.0,7.0,8.0,2024-10-23,2.0,2.0,quận 1,267213.53383458644,
"12,35 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh",60.0,4,31226303317535544,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.0,12.35,20.6,2024-10-22,4.0,3.1226303317535544e+16,quận 5,283000.0,nguyễn trãi
"1,35 tỷ","Dự án Dream Home Riverside, Đường Nguyễn Văn Linh, Phường 7, Quận 8, Hồ Chí Minh",57.0,2,2,17/10/2024,,,Tin VIP Bạc,Đang mở bán,55-75 m²,Công ty TNHH SX TM Lý Khương,"(41.267, 58.4]",57.0,1.35,2.4,2024-10-17,2.0,2.0,quận 8,52700.0,nguyễn văn linh
"7,8 tỷ","Đường Phạm Văn Bạch, Phường 15, Tân Bình, Hồ Chí Minh",100.0,3,3,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",100.0,7.8,7.8,2024-10-22,3.0,3.0,tân bình,64200.0,phạm văn bạch
"5,95 tỷ","Dự án ICON 56, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh",87.0,3,2,15/10/2024,,,Tin thường,Đã bàn giao,47-112 m²,Novaland Group,"(75.533, 92.667]",87.0,5.95,6.8,2024-10-15,3.0,2.0,quận 4,164700.0,bến vân đồn
16 tỷ,"Phường Phước Long B, Quận 9, Hồ Chí Minh",156.0,8,9,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",156.0,16.0,10.3,2024-10-17,8.0,9.0,quận 9,59327.65113974232,
"8,6 tỷ","Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",34.0,3,4,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",34.0,8.6,25.3,2024-10-22,3.0,4.0,quận 3,247100.0,lê văn sỹ
"8,7 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",80.0,4,5,04/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,8.7,10.9,2024-10-04,4.0,5.0,quận 7,93150.0,huỳnh tấn phát
