Hướng nhà,Hướng ban công,Loại tin,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường,Số Căn Hộ,Chủ Đầu Tư,Trạng Thái,Full_Address,Latitude,Longitude
,,Tin VIP Bạc,"(26.192, 45.385]",40.0,15.2,38.0,2024-10-17,6.0,4.0,quận 8,130400.0,dương bá trạc,,cá nhân/môi giới,Đã bàn giao,"dương bá trạc, quận 8, Hồ Chí Minh, Vietnam",10.746677,106.6891675
,,Tin thường,"(83.769, 102.962]",90.0,5.6,6.2,2024-10-23,3.0,2.0,quận 3,164900.0,trường sa,,Công ty CP Đầu tư Xây dựng và Kinh doanh nhà Sài Gòn,đã bàn giao,"trường sa, quận 3, Hồ Chí Minh, Vietnam",10.778946,106.686069
,,Tin VIP Kim Cương,"(83.769, 102.962]",87.0,7.0,8.0,2024-10-23,2.0,2.0,quận 1,267213.53383458644,,2178.0,Tập đoàn Hà Đô,Đã bàn giao,", quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
,,Tin thường,"(45.385, 64.577]",60.0,12.35,20.6,2024-10-22,4.0,2.0,quận 5,283000.0,nguyễn trãi,,cá nhân/môi giới,Đã bàn giao,"nguyễn trãi, quận 5, Hồ Chí Minh, Vietnam",10.756226,106.666287
,,Tin VIP Bạc,"(45.385, 64.577]",57.0,1.35,2.4,2024-10-17,2.0,2.0,quận 8,52700.0,nguyễn văn linh,,Công ty TNHH SX TM Lý Khương,Đang mở bán,"nguyễn văn linh, quận 8, Hồ Chí Minh, Vietnam",10.7216,106.629241
,,Tin thường,"(83.769, 102.962]",100.0,7.8,7.8,2024-10-22,3.0,3.0,tân bình,64200.0,phạm văn bạch,,cá nhân/môi giới,Đã bàn giao,"phạm văn bạch, tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin thường,"(83.769, 102.962]",87.0,5.95,6.8,2024-10-15,3.0,2.0,quận 4,164700.0,bến vân đồn,,Novaland Group,Đã bàn giao,"bến vân đồn, quận 4, Hồ Chí Minh, Vietnam",10.760991,106.707458
,,Tin VIP Bạc,"(141.346, 160.538]",156.0,16.0,10.3,2024-10-17,8.0,9.0,quận 9,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(26.192, 45.385]",34.0,8.6,25.3,2024-10-22,3.0,4.0,quận 3,247100.0,lê văn sỹ,,cá nhân/môi giới,Đã bàn giao,"lê văn sỹ, quận 3, Hồ Chí Minh, Vietnam",10.796471,106.66531
,,Tin thường,"(64.577, 83.769]",80.0,8.7,10.9,2024-10-04,4.0,5.0,quận 7,93150.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, quận 7, Hồ Chí Minh, Vietnam",10.736037,106.731316
,,Tin thường,"(141.346, 160.538]",146.0,23.0,15.8,2024-10-22,6.0,7.0,bình thạnh,73700.0,nguyễn thượng hiền,,cá nhân/môi giới,Đã bàn giao,"nguyễn thượng hiền, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin VIP Kim Cương,"(83.769, 102.962]",90.0,7.3,8.1,2024-10-14,2.0,2.0,quận 2,59327.65113974232,,1275.0,Kusto Home,Đã bàn giao,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
Nam,Đông - Nam,Tin VIP Kim Cương,"(83.769, 102.962]",86.0,5.8,6.7,2024-10-23,2.0,2.0,bình thạnh,151500.0,nguyễn hữu cảnh,13000.0,Tập đoàn Vingroup,Đã bàn giao,"nguyễn hữu cảnh, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(45.385, 64.577]",52.8,4.85,9.2,2024-10-20,2.0,2.0,thủ đức,40500.0,đường số 9,,cá nhân/môi giới,Đã bàn giao,"đường số 9, thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
