Title,Price,Address,Price per m2,Area,Bedrooms,Toilets,Published At,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Project Title,Status,Number of Apartments,Number of Buildings,Developer,Project Address
,"1,09 tỷ","Phước Lý, Cần Giuộc, Long An",,100 m²,,,18/10/2024,100 m²,"1,09 tỷ",,,18/10/2024,25/10/2024,Tin VIP Kim Cương,41255010,,,,,,"Phước Lý, Cần Giuộc, Long An"
,Thỏa thuận,"Đường Trần Hưng Đạo, Phường An Hải Tây, Sơn Trà, Đà Nẵng",,140 m²,,,14/10/2024,140 m²,Thỏa thuận,Tây - Nam,,14/10/2024,24/10/2024,Tin thường,40083501,,,,,,"Đường Trần Hưng Đạo, Phường An Hải Tây, Sơn Trà, Đà Nẵng"
,"13,8 tỷ","Đường Số 75, Phường Tân Phong, Quận 7, Hồ Chí Minh",,60 m²,4 phòng,4 phòng,18/10/2024,60 m²,"13,8 tỷ",Đông,,18/10/2024,02/11/2024,Tin thường,41248626,,,,,,"Đường Số 75, Phường Tân Phong, Quận 7, Hồ Chí Minh"
,"1,6 tỷ","Ấp 1, Đường Tỉnh lộ 328, Xã Hòa Hưng , Xuyên Mộc, Bà Rịa Vũng Tàu",,434 m²,,,27/09/2024,434 m²,"1,6 tỷ",Đông - Bắc,,27/09/2024,27/10/2024,Tin thường,36141889,,,,,,"Ấp 1, Đường Tỉnh lộ 328, Xã Hòa Hưng , Xuyên Mộc, Bà Rịa Vũng Tàu"
Vinhomes Ocean Park Gia Lâm,"3,56 tỷ","Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội",,64 m²,2 phòng,2 phòng,19/10/2024,64 m²,"3,56 tỷ",,Đông - Nam,19/10/2024,26/10/2024,Tin VIP Kim Cương,41257222,Vinhomes Ocean Park Gia Lâm,Đang mở bán,66,Tập đoàn Vingroup,Tập đoàn Vingroup,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội"
,"1,05 tỷ","Đường Mai Xuân Thưởng, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa",,26 m²,,,18/10/2024,26 m²,"1,05 tỷ",,,18/10/2024,28/10/2024,Tin thường,39993585,,,,,,"Đường Mai Xuân Thưởng, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa"
,"9,9 tỷ","Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,91 m²,,,14/10/2024,91 m²,"9,9 tỷ",Tây - Bắc,Đông - Nam,14/10/2024,21/10/2024,Tin VIP Kim Cương,40459722,The Crown - Vinhomes Ocean Park 3,Đang mở bán,10,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên"
,18 tỷ,"Hẻm 389, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",,"210,6 m²",,,18/10/2024,"210,6 m²",18 tỷ,,,18/10/2024,28/10/2024,Tin thường,40480566,,,,,,"Hẻm 389, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
,900 triệu,"Trung Lập Hạ, Củ Chi, Hồ Chí Minh",,"123,7 m²",,,16/10/2024,"123,7 m²",900 triệu,,,16/10/2024,31/10/2024,Tin thường,41230110,,,,,,"Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
,3 tỷ,"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh",,"87,5 m²",,,17/10/2024,"87,5 m²",3 tỷ,Đông - Nam,,17/10/2024,01/11/2024,Tin thường,41087146,Khu đô thị Phương Đông,Đang mở bán,Đang cập nhật,,Đang cập nhật,"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh"
